isbn13,predicted_categories
9780895260789,Fiction
9780895941411,Nonfiction
9780896087644,Nonfiction
9780896583214,Fiction
9780896892026,Nonfiction
9780896892934,Fiction
9780898599596,Nonfiction
9780898868098,Nonfiction
9780919123700,Fiction
9780922729487,Nonfiction
9780922915613,Fiction
9780934380232,Nonfiction
9780936197449,Nonfiction
9780938045557,Nonfiction
9780938497196,Nonfiction
9780939682041,Fiction
9780940450660,Fiction
9780940450738,Nonfiction
9780960989867,Nonfiction
9780961392178,Nonfiction
9780961462093,Nonfiction
9780964326194,Fiction
9780965020596,Fiction
9780965470803,Fiction
9780965604925,Fiction
9780966264920,Fiction
9780966410075,Nonfiction
9780969876748,Fiction
9780970312532,Nonfiction
9780971316829,Fiction
9780971500761,Nonfiction
9780972016414,Fiction
9780972018418,Nonfiction
9780972851725,Nonfiction
9780974514055,Nonfiction
9780975323113,Nonfiction
9780976694007,Nonfiction
9780976694021,Nonfiction
9780977312795,Fiction
9781400016082,Nonfiction
9781400031771,Nonfiction
9781400032389,Nonfiction
9781400033171,Nonfiction
9781400040353,Fiction
9781400040360,Fiction
9781400044740,Nonfiction
9781400046843,Nonfiction
9781400047338,Fiction
9781400047833,Fiction
9781400051571,Nonfiction
9781400052370,Nonfiction
9781400052387,Fiction
9781400054206,Nonfiction
9781400062454,Nonfiction
9781400064892,Nonfiction
9781400065011,Fiction
9781400076819,Nonfiction
9781400076857,Nonfiction
9781400078394,Nonfiction
9781400079094,Nonfiction
9781401210014,Fiction
9781401211349,Nonfiction
9781401300463,Nonfiction
9781401301941,Fiction
